               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.019126,            0.015999,           0.0018806,             0.87495,             0.81541,             0.87555,             0.66871,            0.018438,             0.00935,           0.0060237,             0.00571,             0.00571,             0.00571
                 132,            0.019158,            0.016507,           0.0019949,             0.93579,             0.86506,             0.90344,             0.69327,            0.018793,           0.0089627,           0.0021266,            0.005677,            0.005677,            0.005677
                 133,            0.019808,            0.014945,           0.0018527,             0.91677,              0.8326,              0.8952,             0.67674,            0.019314,           0.0095825,           0.0028601,            0.005644,            0.005644,            0.005644
                 134,            0.020212,            0.015942,           0.0020027,             0.90783,             0.80061,             0.87518,             0.69251,            0.019245,           0.0091704,           0.0030618,            0.005611,            0.005611,            0.005611
                 135,            0.018475,            0.014817,            0.002085,             0.91529,              0.8391,             0.88193,             0.69968,            0.018073,           0.0091442,           0.0026171,            0.005578,            0.005578,            0.005578
                 136,            0.018698,            0.015602,           0.0016561,             0.95216,             0.83641,             0.88767,             0.69327,            0.017328,           0.0088015,           0.0016279,            0.005545,            0.005545,            0.005545
                 137,            0.019141,            0.015886,           0.0021776,             0.91497,             0.83045,             0.88593,             0.69415,            0.017273,           0.0090186,            0.002085,            0.005512,            0.005512,            0.005512
                 138,            0.018557,            0.014761,           0.0020311,             0.93679,             0.80989,             0.86887,             0.67246,            0.018844,           0.0095527,           0.0026472,            0.005479,            0.005479,            0.005479
                 139,            0.018257,            0.015431,           0.0018306,             0.88369,             0.86393,             0.90177,             0.68151,            0.017778,           0.0090328,           0.0045486,            0.005446,            0.005446,            0.005446
                 140,            0.018472,             0.01577,           0.0021925,             0.94881,             0.84251,             0.89159,             0.68618,            0.017883,           0.0093392,           0.0024583,            0.005413,            0.005413,            0.005413
                 141,            0.018684,            0.015938,           0.0016935,             0.92811,             0.86059,             0.89145,             0.69588,            0.018016,           0.0088891,           0.0022683,             0.00538,             0.00538,             0.00538
                 142,            0.017824,             0.01615,           0.0018549,             0.93337,              0.7693,              0.8733,             0.69234,            0.017514,           0.0088421,           0.0027415,            0.005347,            0.005347,            0.005347
                 143,            0.018418,            0.015028,           0.0019932,             0.89026,               0.849,             0.88109,             0.69646,            0.016992,           0.0089539,           0.0027405,            0.005314,            0.005314,            0.005314
                 144,             0.01875,            0.015328,           0.0037738,             0.86689,             0.83771,             0.85711,             0.67018,            0.019691,             0.01009,           0.0035931,            0.005281,            0.005281,            0.005281
                 145,            0.018993,            0.016937,           0.0037578,              0.8156,             0.79821,             0.82654,             0.62497,             0.02079,           0.0097038,           0.0074054,            0.005248,            0.005248,            0.005248
                 146,            0.019298,            0.016535,           0.0042363,             0.88339,             0.80211,             0.82975,             0.65168,            0.019356,           0.0098798,           0.0048583,            0.005215,            0.005215,            0.005215
                 147,            0.019016,            0.016872,           0.0029342,             0.93314,             0.85005,             0.91833,             0.70012,            0.017781,           0.0085036,           0.0028709,            0.005182,            0.005182,            0.005182
                 148,            0.018821,            0.016292,           0.0024545,             0.85627,             0.80477,              0.8812,             0.67667,              0.0179,           0.0089577,           0.0051054,            0.005149,            0.005149,            0.005149
                 149,            0.020187,             0.01708,           0.0027968,             0.89269,             0.80157,             0.86624,              0.6709,            0.017835,           0.0093794,           0.0045637,            0.005116,            0.005116,            0.005116
                 150,            0.019102,            0.016356,           0.0026245,             0.84228,             0.82499,             0.86706,             0.66788,            0.018681,           0.0092501,            0.010666,            0.005083,            0.005083,            0.005083
                 151,            0.017543,            0.015707,           0.0029417,             0.89089,             0.79443,             0.84419,             0.65097,             0.01896,           0.0098498,            0.012812,             0.00505,             0.00505,             0.00505
                 152,            0.018892,            0.016062,           0.0023815,             0.85125,             0.80985,             0.83737,             0.63658,            0.017144,           0.0099698,            0.015345,            0.005017,            0.005017,            0.005017
                 153,            0.019108,            0.015767,           0.0026095,              0.9066,             0.85027,             0.88958,             0.69101,            0.017923,            0.009408,            0.004732,            0.004984,            0.004984,            0.004984
                 154,            0.017525,            0.016149,           0.0022387,             0.84925,              0.8613,             0.88306,             0.68352,            0.018307,           0.0096085,           0.0028055,            0.004951,            0.004951,            0.004951
                 155,            0.019325,            0.016798,           0.0022469,             0.86864,             0.81924,              0.8852,             0.68727,            0.019805,           0.0093029,           0.0037915,            0.004918,            0.004918,            0.004918
                 156,            0.018488,            0.015946,           0.0019123,             0.91829,             0.84071,             0.89498,             0.70365,            0.019225,            0.009108,           0.0021463,            0.004885,            0.004885,            0.004885
                 157,            0.017578,            0.014516,           0.0020574,              0.9411,             0.85102,             0.87596,             0.69805,            0.018402,           0.0089361,           0.0036283,            0.004852,            0.004852,            0.004852
                 158,            0.017154,            0.015261,           0.0016571,             0.96847,             0.85089,             0.89047,             0.69719,             0.01835,           0.0090985,           0.0024052,            0.004819,            0.004819,            0.004819
                 159,            0.017565,            0.015217,           0.0019829,              0.9311,             0.86435,             0.89852,             0.67986,            0.019143,           0.0094312,           0.0020947,            0.004786,            0.004786,            0.004786
