               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.021379,            0.018034,           0.0026809,             0.93576,             0.75627,             0.88064,             0.66383,            0.020157,           0.0094714,           0.0056426,            0.006799,            0.006799,            0.006799
                  99,             0.02202,            0.017061,           0.0024813,             0.89356,             0.81968,             0.87235,             0.64868,            0.020572,           0.0096305,            0.003634,            0.006766,            0.006766,            0.006766
                 100,             0.02137,            0.017509,           0.0026697,             0.83561,             0.81146,             0.85086,               0.615,            0.019676,             0.01004,           0.0064961,            0.006733,            0.006733,            0.006733
                 101,            0.021872,            0.017879,           0.0027259,             0.94443,             0.80889,             0.87717,             0.65061,            0.020476,            0.009424,            0.001741,              0.0067,              0.0067,              0.0067
                 102,            0.021081,            0.017457,           0.0024026,             0.89818,              0.8212,             0.87446,             0.65897,            0.019905,           0.0094508,           0.0019731,            0.006667,            0.006667,            0.006667
                 103,            0.020566,            0.017894,           0.0026456,             0.92678,             0.84221,             0.90003,             0.66804,            0.019888,           0.0090445,           0.0022317,            0.006634,            0.006634,            0.006634
                 104,            0.019938,             0.01612,           0.0034277,             0.86049,             0.85614,             0.90167,               0.688,            0.018866,           0.0090492,           0.0032603,            0.006601,            0.006601,            0.006601
                 105,            0.020663,            0.017437,           0.0028925,             0.77717,             0.86862,             0.87274,             0.65383,            0.019391,           0.0089383,           0.0087929,            0.006568,            0.006568,            0.006568
                 106,            0.020915,            0.016927,           0.0025641,             0.88919,              0.8105,             0.87251,              0.6841,            0.018262,           0.0092186,           0.0038082,            0.006535,            0.006535,            0.006535
                 107,            0.019936,            0.016993,           0.0026097,             0.88191,             0.83642,             0.89805,             0.70196,            0.018219,           0.0087704,           0.0032816,            0.006502,            0.006502,            0.006502
                 108,            0.021025,            0.017514,           0.0028098,             0.79124,             0.87722,             0.87704,             0.67274,            0.017157,           0.0089489,           0.0048389,            0.006469,            0.006469,            0.006469
                 109,            0.020757,            0.017032,           0.0029554,              0.7966,             0.87011,              0.8682,              0.6611,            0.018775,           0.0093172,           0.0041841,            0.006436,            0.006436,            0.006436
                 110,            0.020367,            0.016807,           0.0030177,             0.81808,             0.88179,              0.8829,             0.66815,            0.018276,           0.0091095,           0.0026967,            0.006403,            0.006403,            0.006403
                 111,            0.020196,            0.016632,           0.0025672,             0.82646,             0.84491,             0.85963,             0.65933,            0.017949,           0.0095541,           0.0043415,             0.00637,             0.00637,             0.00637
                 112,            0.019945,            0.016934,           0.0024869,             0.88047,              0.8304,             0.87757,             0.67614,            0.017288,           0.0090521,           0.0062213,            0.006337,            0.006337,            0.006337
                 113,            0.020668,            0.016755,            0.002506,             0.85325,             0.87063,             0.89671,             0.67746,            0.017405,            0.009052,           0.0032188,            0.006304,            0.006304,            0.006304
                 114,            0.020114,            0.016648,           0.0025693,             0.83066,             0.82967,             0.87506,             0.66555,            0.018726,           0.0099338,           0.0037896,            0.006271,            0.006271,            0.006271
                 115,            0.021446,            0.016602,           0.0029434,             0.85995,             0.82605,             0.87306,              0.6645,            0.019395,            0.010107,           0.0071172,            0.006238,            0.006238,            0.006238
                 116,            0.019695,            0.016537,           0.0025565,             0.90246,             0.75542,             0.86014,             0.66404,            0.018709,           0.0094856,           0.0055987,            0.006205,            0.006205,            0.006205
                 117,            0.020846,             0.01634,           0.0022303,             0.90964,             0.78481,             0.87176,             0.68245,            0.019103,           0.0092325,           0.0049739,            0.006172,            0.006172,            0.006172
                 118,            0.019698,             0.01629,            0.002454,             0.90545,             0.78623,             0.86376,             0.68349,            0.019192,           0.0091575,           0.0054351,            0.006139,            0.006139,            0.006139
                 119,            0.021129,            0.017412,           0.0023917,             0.89477,             0.80427,             0.88598,             0.68712,             0.01834,           0.0087659,           0.0028431,            0.006106,            0.006106,            0.006106
